"","RN","PN","Rdate"
"8108","CY255885","ATX60881","2017/10/12"
"9984","CY258084","ATZ79207","2017/10/23"
"2978","CY245398","ATI23233","2017/09/09"
"6316","MH586036","AXA18784","2018/01/02"
"12981","CY250651","ATU89989","2017/10/18"
"12411","CY261439","AUH31264","2017/11/19"
"4037","MK382009","AZY87818","2018/01/31"
"15085","MK027728","AYG77743","2018/08/04"
"15081","MK027712","AYG77719","2018/08/04"
"7326","MK623156","QBL90103","2018/12/13"
"4487","MH898189","AXY84492","2018/07/16"
"6484","MK555034","QBF65651","2018/09/28"
"7319","MK181867","AYW00475","2018/09/10"
"15080","MK027704","AYG77707","2018/08/02"
"4497","MH898197","AXY84504","2018/07/16"
"8228","MK268624","AYN08138","2018/08/11"
"8227","MK077408","AYN08138","2018/08/11"
"7137","MK077376","AYN08090","2018/08/01"
"7139","MK181819","AYW00403","2018/09/11"
"8114","MK027483","AYG77377","2018/08/05"
"8115","MK181693","AYG77377","2018/08/05"
"4504","MK181735","AYW00276","2018/08/14"
"4506","MK181751","AYW00300","2018/08/20"
"4507","MK181711","AYW00241","2018/08/31"
